EFT_PERIODO	EFT_VIVIENDA	EFT_HOGAR	EFT_MIEMBRO	EFT_SEXO	EFT_EDAD	EFT_PARENTESCO_CON_JEFE	EFT_ESTADO_CIVIL	EFT_ALFABETISMO	EFT_ULT_ANO_APROBADO	EFT_ULT_NIVEL_ALCANZADO	EFT_SE_MATRICULO	EFT_TANDA_ASISTE	EFT_TIPO_CENTRO	EFT_MOTIVO_NO_ASISTE	EFT_MUNICIPIO_RESIDE	EFT_ZONA_RESIDE	EFT_PAIS_RESIDE	EFT_TIEMPO_RESIDENCIA	EFT_RAZON_TRASLADO	EFT_FACTOR_EXP	EFT_ESTRATO	EFT_UPM	EFT_CANT_MIEMBROS	EFT_NOMBRE_MIEMBRO	EFT_SE_MATRICULO_TEXTO	EFT_NUEVO_FACTOR_CENSO	EFT_FACTOR_EXP_CENSO1993	EFT_MOTIVO_NO_ASISTE_ESP	EFT_TANDA_ASISTE_ESP	EFT_RAZON_TRASLADO_ESP	EFT_MIEMBRO_AFILIADO_SEGURO	EFT_SEGURO_ESTA_AFILIADO	EFT_SEGURO_ESTA_AFILIADO_ESP	EFT_TIPO_AFILIADO	EFT_FACTOR_EXP_ANUAL
1/2000	1	1	1	1	47	1	2	1	8	2	7	0	0	9	601	0	647	5	5	236	1	1	7				245								
1/2000	1	1	2	2	51	2	2	1	2	2	7	0	0	4	2,401	0	647	5	5	236	1	1	7				245								
1/2000	1	1	3	1	30	4	6	1	8	2	7	0	0	4	2,401	0	647	5	5	236	1	1	7				245								
1/2000	1	1	4	1	20	3	6	1	3	2	7	0	0	4	101	0	647	1	0	236	1	1	7				245								
1/2000	1	1	5	2	13	3	6	1	3	2	2	2	1	0	101	0	647	1	0	236	1	1	7				245								
1/2000	1	1	6	2	14	3	6	1	1	2	2	2	1	0	101	0	647	1	0	236	1	1	7				245								
1/2000	1	1	7	1	6	3	6	2	0	7	7	0	0	7	101	0	647	1	0	236	1	1	7				245								
1/2000	2	1	1	1	31	1	1	1	8	2	7	0	0	4	2,801	0	647	5	5	236	1	1	7				245								
1/2000	2	1	2	2	27	2	1	1	7	2	7	0	0	4	101	0	647	1	0	236	1	1	7				245								
1/2000	2	1	3	2	12	3	6	1	4	2	2	2	2	0	101	0	647	1	0	236	1	1	7				245								
1/2000	2	1	4	2	9	3	6	1	2	2	2	2	2	0	101	0	647	1	0	236	1	1	7				245								
1/2000	2	1	5	2	4	3	6	0	0	7	7	0	0	7	101	0	647	1	0	236	1	1	7				245								
1/2000	2	1	6	1	2	3	6	0	0	0	0	0	0	0	101	0	647	1	0	236	1	1	7				245								
1/2000	2	1	7	1	0	3	6	0	0	0	0	0	0	0	101	0	647	1	0	236	1	1	7				245								
1/2000	3	1	1	1	60	1	5	1	3	2	7	0	0	9	2,201	0	647	5	1	236	1	1	6				245								
1/2000	3	1	2	2	34	3	6	1	3	2	7	0	0	4	2,201	0	647	5	5	236	1	1	6				245								
1/2000	3	1	3	2	26	3	6	2	1	2	7	0	0	4	2,201	0	647	5	5	236	1	1	6				245								
1/2000	3	1	4	2	18	5	6	1	4	2	2	3	2	0	101	0	647	1	0	236	1	1	6				245								
1/2000	3	1	5	2	16	5	6	1	7	2	2	3	2	0	101	0	647	1	0	236	1	1	6				245								
1/2000	3	1	6	2	10	5	6	1	3	2	2	2	2	0	101	0	647	1	0	236	1	1	6				245								
1/2000	4	1	1	1	54	1	1	1	6	2	7	0	0	4	2,101	0	647	5	1	236	1	1	3				245								
1/2000	4	1	2	2	48	2	1	1	4	2	7	0	0	4	101	0	647	1	0	236	1	1	3				245								
1/2000	4	1	3	1	18	3	6	1	2	3	3	3	2	0	101	0	647	1	0	236	1	1	3				245								
1/2000	5	1	1	1	35	1	1	1	6	2	7	0	0	4	2,201	0	647	5	1	236	1	1	5				245								
1/2000	5	1	2	2	28	2	1	1	4	3	7	0	0	4	201	0	647	5	5	236	1	1	5				245								
1/2000	5	1	3	1	12	3	6	1	5	2	2	1	2	0	101	0	647	1	0	236	1	1	5				245								
1/2000	5	1	4	1	10	3	6	1	2	2	2	1	1	0	101	0	647	1	0	236	1	1	5				245								
1/2000	5	1	5	2	7	3	6	1	1	2	2	1	1	0	101	0	647	1	0	236	1	1	5				245								
1/2000	6	1	1	1	42	1	1	1	3	2	7	0	0	4	1,401	0	647	5	1	236	1	1	8				245								
1/2000	6	1	2	2	30	2	1	1	1	3	7	0	0	4	2,101	0	647	5	5	236	1	1	8				245								
1/2000	6	1	3	1	14	3	6	1	4	2	2	1	1	0	101	0	647	1	0	236	1	1	8				245								
1/2000	6	1	4	1	12	3	6	1	3	2	2	2	2	0	101	0	647	1	0	236	1	1	8				245								
1/2000	6	1	5	2	10	3	6	1	2	2	2	2	1	0	101	0	647	1	0	236	1	1	8				245								
1/2000	6	1	6	2	8	3	6	1	1	2	2	1	1	0	101	0	647	1	0	236	1	1	8				245								
1/2000	6	1	7	2	7	3	6	1	1	2	2	1	1	0	101	0	647	1	0	236	1	1	8				245								
1/2000	6	1	8	2	3	3	6	0	0	0	0	0	0	0	101	0	647	1	0	236	1	1	8				245								
1/2000	7	1	1	1	33	1	1	1	3	2	7	0	0	2	2,201	0	647	5	1	236	1	1	4				245								
1/2000	7	1	2	2	27	2	1	1	5	2	7	0	0	9	401	0	647	5	5	236	1	1	4				245								
1/2000	7	1	3	2	0	3	6	0	0	0	0	0	0	0	101	0	647	1	0	236	1	1	4				245								
1/2000	7	1	4	1	3	3	6	0	0	0	0	0	0	0	101	0	647	1	0	236	1	1	4				245								
1/2000	8	1	1	2	54	1	3	1	3	2	7	0	0	4	2,503	0	647	5	6	236	1	1	5				245								
1/2000	8	1	2	1	25	3	6	1	4	2	7	0	0	4	101	0	647	1	0	236	1	1	5				245								
1/2000	8	1	3	1	18	3	6	1	3	2	7	0	0	4	101	0	647	1	0	236	1	1	5				245								
1/2000	8	1	4	1	9	5	6	1	2	2	2	2	2	0	101	0	647	1	0	236	1	1	5				245								
1/2000	8	1	5	1	8	5	6	1	1	2	2	1	2	0	101	0	647	1	0	236	1	1	5				245								
1/2000	9	1	1	1	31	1	1	1	8	2	7	0	0	2	1,301	1	647	5	1	236	1	1	4				245								
1/2000	9	1	2	2	21	2	1	1	1	3	7	0	0	9	2,101	0	647	5	5	236	1	1	4				245								
1/2000	9	1	3	1	3	3	6	0	0	0	0	0	0	0	101	0	647	1	0	236	1	1	4				245								
1/2000	9	1	4	1	0	3	6	0	0	0	0	0	0	0	101	0	647	1	0	236	1	1	4				245								
1/2000	10	1	1	2	36	1	4	1	5	2	7	0	0	4	701	0	647	5	1	236	1	1	2				244								
1/2000	10	1	2	2	18	3	6	1	1	3	3	1	2	0	101	0	647	1	0	236	1	1	2				244								
1/2000	11	1	1	1	73	1	1	1	5	2	7	0	0	7	2,301	1	647	5	1	224	1	2	9				233								
1/2000	11	1	2	2	62	2	1	1	3	2	7	0	0	7	2,301	0	647	5	5	224	1	2	9				233								
1/2000	11	1	3	1	37	3	6	1	3	3	7	0	0	2	101	0	647	1	0	224	1	2	9				233								
1/2000	11	1	4	1	40	3	2	1	2	5	7	0	0	2	101	0	647	1	0	224	1	2	9				233								
1/2000	11	1	5	1	14	5	6	1	5	2	2	1	1	0	101	0	647	1	0	224	1	2	9				233								
1/2000	11	1	6	1	11	5	6	1	3	2	2	1	1	0	101	0	647	1	0	224	1	2	9				233								
1/2000	11	1	7	2	9	5	6	1	3	2	2	1	1	0	101	0	647	1	0	224	1	2	9				233								
